sentence,sentiment,emotion
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral,neutral
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,neutral
The company admits that 36 months is a relatively short time when operating in Russia .,neutral,neutral
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,neutral
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,neutral
The first phase will be completed by the end of 2012 .,neutral,neutral
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,neutral
The invention carries International Patent Publication No. .,neutral,neutral
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,neutral
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,neutral
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,neutral
The issuer is solely responsible for the content of this announcement .,neutral,neutral
The issuer is solely responsible for the content of this announcement .,neutral,neutral
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,neutral
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,neutral
The original patent was filed in Finland under application No. .,neutral,neutral
"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",neutral,neutral
The right margin will be viewed separately in detail with every customer .,neutral,neutral
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,neutral
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,neutral
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,neutral
"The value of the deal exceeds EUR500 ,000 , the company said .",neutral,neutral
Travel expenses would be reimbursed in accordance with the travel policy of the company .,neutral,neutral
Welcome !,neutral,neutral
"You need to be ready when the window opens up , Rosberg said .",neutral,neutral
: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,positive,joy
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral,neutral
Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,neutral
"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",neutral,neutral
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,neutral
`` It allows the young child to move forward with his life . '',positive,joy
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,neutral
`` They want my credit card info and my personal details .,neutral,neutral
"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .",neutral,neutral
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,neutral,neutral
A quick `` one-stop-shop '' to understand the company .,neutral,neutral
About Dopplr Dopplr is a service for smart travellers .,neutral,neutral
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",neutral,neutral
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,neutral
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,neutral
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,neutral
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,neutral
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",neutral,neutral
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,neutral,neutral
"Also , a seven-year historic analysis is provided for these markets .",neutral,neutral
"Also , a six-year historic analysis is provided for these markets .",neutral,neutral
"Also , a six-year historic analysis is provided for this market .",neutral,neutral
Also the traditional grapevine carries a lot of weight .,neutral,neutral
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,joy
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,neutral
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,neutral
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,neutral
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,neutral
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",neutral,neutral
BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral,neutral
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,neutral
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,neutral
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral,neutral
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,neutral
Central Europe is an important market area for Honka .,neutral,neutral
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,neutral
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,neutral
Competition authorities will have to approve the deal before it can be finalized .,neutral,neutral
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",neutral,neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,neutral
Construction is expected to be completed in the summer of 2011 .,neutral,neutral
"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,joy
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,neutral
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,neutral,neutral
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",neutral,neutral
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,neutral
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral,neutral
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,neutral
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,joy
"Entire paper mills may be set up , especially in the new EU member states .",neutral,neutral
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,neutral
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral,neutral
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,neutral
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,neutral
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,joy
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,neutral
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,neutral
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,positive,joy
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,neutral
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,neutral
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,neutral
However short-term rentals are becoming more popular .,neutral,neutral
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral,neutral
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",neutral,neutral
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",neutral,neutral
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",neutral,neutral
Insurance policies should be simple .,neutral,neutral
"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .",neutral,neutral
It is expected to be completed by the end of 2007 .,neutral,neutral
It is planned to set up the A class business center in the two top storeys of the complex .,neutral,neutral
It will provide heating in the form of hot water for the sawmill 's needs .,neutral,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion .,neutral,neutral
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .,neutral,neutral
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,neutral
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",neutral,neutral
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,neutral
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,neutral
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,neutral
"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",neutral,neutral
"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .",neutral,neutral
( I&H ) in a move to enhance growth .,positive,joy
LSC 's 30 employees will move to Ixonos with their existing status and benefits .,neutral,neutral
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,neutral
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,neutral
NASDAQ-listed Yahoo Inc has introduced a new service that enables Malaysians to take their favorite Internet content and services with them on their mobile phones .,positive,joy
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .,neutral,neutral
Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,neutral,neutral
"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media .",neutral,neutral
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral,neutral
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral,neutral
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral,neutral
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .,neutral,neutral
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,neutral
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",neutral,neutral
Performance is based on values and sustainability .,neutral,neutral
Pertti Ervi is independent from the Company and its major shareholders .,neutral,neutral
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral,neutral
"Previously , the plant was expected to be completed by the end of 2008 .",neutral,neutral
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral,neutral
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,neutral
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral,neutral
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral,neutral
"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",neutral,neutral
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral,neutral
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .",neutral,neutral
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,neutral
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral,neutral
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral,neutral
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,neutral
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",neutral,neutral
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,neutral
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,neutral
Strategic and operational business information is objectively reported .,neutral,neutral
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,neutral
Symphony Services provides development services for Aldata GOLD .,neutral,neutral
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",neutral,neutral
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral,neutral
The agreement is valid for four years .,neutral,neutral
"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems .",neutral,neutral
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,neutral,neutral
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,neutral
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,neutral
"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",neutral,neutral
The business section also includes Ahlstrom 's sustainability report .,neutral,neutral
"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",neutral,neutral
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,neutral,neutral
"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",neutral,neutral
"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories .",neutral,neutral
"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",neutral,neutral
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral,neutral
The company is presently examining whether the project would be financially feasible .,neutral,neutral
The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,neutral,neutral
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,neutral,neutral
The company specialises in temporary electrification and heating at construction sites .,neutral,neutral
"The competition was received with great enthusiasm by the employees , he goes on .",positive,joy
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral,neutral
The deliveries started in April 2006 and will be completed in 2007 .,neutral,neutral
The desk will reach its full planned strength of ten persons in autumn 2007 .,neutral,neutral
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral,neutral
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral,neutral
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,neutral
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral,neutral
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,neutral
The first of the two project phases is expected to be completed by the end of 2012 .,neutral,neutral
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,neutral
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,neutral
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",neutral,neutral
"The important thing now is to keep the bank 's existing 15,000 customers .",neutral,neutral
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",neutral,neutral
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral,neutral
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral,neutral
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral,neutral
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,neutral
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,neutral
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,neutral
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",neutral,neutral
"The most popular mobile data services are email , surfing the internet , as well as news and weather services .",neutral,neutral
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,neutral
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,neutral
The office space will rise above the remodeled Cannon Street underground station .,neutral,neutral
"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral,neutral
"The opportunity will be available only for few employees , however .",neutral,neutral
"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral,neutral
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,neutral
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,neutral
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",neutral,neutral
The project is expected to be completed in 2009 .,neutral,neutral
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral
"The Russian government will contribute 20 % of the necessary funds , he said .",neutral,neutral
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",neutral,neutral
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",neutral,neutral
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,neutral
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,neutral
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,neutral
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,neutral
The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,neutral,neutral
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral,neutral
"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .",neutral,neutral
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,neutral
The trade is in accordance with the agreement announced on 26 March 2008 .,neutral,neutral
The transaction is expected to be completed next spring .,neutral,neutral
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,neutral,neutral
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,neutral
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",neutral,neutral
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral,neutral
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,neutral
Uponor maintains its full-year guidance for 2010 .,neutral,neutral
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,neutral
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral,neutral
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,neutral,neutral
What would you like to see changed on Nokia 's next attempt ?,neutral,neutral
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral,neutral
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",neutral,neutral
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,neutral
You are warmly welcome !,neutral,neutral
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,neutral
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",neutral,neutral
`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,neutral
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,neutral,neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,neutral,neutral
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,neutral
`` The CHF is a great product .,positive,joy
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",neutral,neutral
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",positive,joy
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,neutral
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,neutral
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,neutral,neutral
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,neutral
A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,neutral
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,neutral
Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral,neutral
"After piloting , the instrument will be further developed according to the experiences gained .",neutral,neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,neutral
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",neutral,neutral
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,neutral
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,neutral
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,neutral
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,neutral
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",neutral,neutral
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral,neutral
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral,neutral
Europe needs 17 new large paper machines .,neutral,neutral
Exel wants to serve its industrial customers with individual products .,neutral,neutral
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,neutral
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,joy
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,neutral
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,neutral
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,neutral
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,joy
He is resting comfortably and is looking forward to getting back to work . '',neutral,neutral
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",neutral,neutral
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,neutral
